logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Family	Class
-0.760468706	6.216447228	0.001298643	0.005807034	MER20B:hAT-Charlie:DNA	77.23913037	47.13081526	AL_RNA_TCDD_M	TCDD	M	MER20B	hAT-Charlie	DNA
-0.902129589	4.799435127	0.001316318	0.005809954	L1ME2z:L1:LINE	30.83994677	17.10719999	AL_RNA_TCDD_M	TCDD	M	L1ME2z	L1	LINE
-0.669337167	10.70975691	0.001305804	0.005809954	MIR:MIR:SINE	1820.800966	1182.183146	AL_RNA_TCDD_M	TCDD	M	MIR	MIR	SINE
-0.775730725	6.417708096	0.001314348	0.005809954	MURVY-LTR:ERV1:LTR	89.52652592	54.58844788	AL_RNA_TCDD_M	TCDD	M	MURVY-LTR	ERV1	LTR
-0.876794021	3.826141525	0.001362397	0.00598753	MLT1J2:ERVL-MaLR:LTR	14.05552896	8.382041511	AL_RNA_TCDD_M	TCDD	M	MLT1J2	ERVL-MaLR	LTR
-0.703507699	10.46025343	0.001381352	0.006019166	ID4:ID:SINE	1535.227334	966.8897244	AL_RNA_TCDD_M	TCDD	M	ID4	ID	SINE
-1.472541443	0.19615217	0.001375927	0.006019166	MER126:DNA:DNA	0.888585552	0.395744809	AL_RNA_TCDD_M	TCDD	M	MER126	DNA	DNA
-0.663188994	13.18851854	0.001401069	0.006079214	ID_B1:B4:SINE	9981.806023	6664.4215	AL_RNA_TCDD_M	TCDD	M	ID_B1	B4	SINE
-0.691694571	7.622697517	0.001417673	0.006099569	RLTR20A4:ERVK:LTR	208.7851835	135.4054506	AL_RNA_TCDD_M	TCDD	M	RLTR20A4	ERVK	LTR
-0.683869134	12.63757917	0.001416098	0.006099569	RSINE1:B4:SINE	6728.660636	4519.545271	AL_RNA_TCDD_M	TCDD	M	RSINE1	B4	SINE
-0.663034766	10.4238709	0.001445652	0.006193923	L1Md_A:L1:LINE	1418.206983	984.2722586	AL_RNA_TCDD_M	TCDD	M	L1Md_A	L1	LINE
-0.681783744	11.25304766	0.001468524	0.006254962	B1_Mur3:Alu:SINE	2638.242855	1715.30936	AL_RNA_TCDD_M	TCDD	M	B1_Mur3	Alu	SINE
-0.692459126	7.502695017	0.001472392	0.006254962	MLT1E2:ERVL-MaLR:LTR	190.1181484	127.4676814	AL_RNA_TCDD_M	TCDD	M	MLT1E2	ERVL-MaLR	LTR
