logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Class
0.045976852	5.75393478	0.215991653	0.346454329	IAPEY5_LTR	53.02706563	56.94968388	ZB_ATAC_As_F	As	F	IAPEY5_LTR	LTR
0.05143052	5.828469092	0.215642374	0.346454329	LTR84b	56.86184816	58.55609616	ZB_ATAC_As_F	As	F	LTR84b	LTR
-0.030180853	7.232091222	0.217095403	0.347725875	LTR16A1	150.8271281	148.6886949	ZB_ATAC_As_F	As	F	LTR16A1	LTR
-0.049468548	5.256854716	0.218144755	0.348906776	MamGypLTR1a	37.73482834	36.07270238	ZB_ATAC_As_F	As	F	MamGypLTR1a	LTR
0.052888047	4.771205108	0.219224337	0.350132584	MamGypLTR1c	26.58831682	28.39118122	ZB_ATAC_As_F	As	F	MamGypLTR1c	LTR
0.014879465	11.12883278	0.220072144	0.350925853	MLT1B	2232.224721	2261.203712	ZB_ATAC_As_F	As	F	MLT1B	LTR
0.020081608	8.403385739	0.221204319	0.351787239	RMER21A	338.8856492	340.3752029	ZB_ATAC_As_F	As	F	RMER21A	LTR
-0.164558171	1.672836839	0.224827701	0.356198723	L1M2b	3.103183726	2.797536609	ZB_ATAC_As_F	As	F	L1M2b	LINE
-0.054478212	5.674824932	0.224934077	0.356198723	LTR102_Mam	51.23323447	51.56652279	ZB_ATAC_As_F	As	F	LTR102_Mam	LTR
0.028286225	7.358222453	0.224455186	0.356198723	MER46C	163.7278617	170.1471282	ZB_ATAC_As_F	As	F	MER46C	DNA
-0.010290525	14.00833982	0.225326834	0.356315983	MTD	16506.81794	16344.1389	ZB_ATAC_As_F	As	F	MTD	LTR
0.24419165	0.398445231	0.227048807	0.358531874	LTR27C	1.100330338	1.398978699	ZB_ATAC_As_F	As	F	LTR27C	LTR
-0.057282963	4.842418796	0.230395816	0.363303981	L1M3d	28.79880849	28.18157619	ZB_ATAC_As_F	As	F	L1M3d	LINE
-0.091681249	3.649775422	0.232726208	0.366461832	LTR86B1	12.59452138	11.49131626	ZB_ATAC_As_F	As	F	LTR86B1	LTR
0.040914563	5.519388639	0.233117397	0.366561532	MLTR31E_MM	45.08621268	47.06216574	ZB_ATAC_As_F	As	F	MLTR31E_MM	LTR
-0.013976475	11.05623635	0.239576108	0.375687189	RMER6A	2133.464731	2121.392062	ZB_ATAC_As_F	As	F	RMER6A	LTR
0.204746556	0.778870102	0.239592993	0.375687189	UCON23	1.40114852	1.698868422	ZB_ATAC_As_F	As	F	UCON23	DNA
